source,price_date,price,open,high,low,close
CHAINLINK,20240320,3301.58,3157.71,3557.62,3061.16,3518.59
CHAINLINK,20240321,3506.77,3512.83,3579.13,3423.81,3524.60
CHAINLINK,20240322,3365.33,3488.93,3527.23,3256.87,3302.73
CHAINLINK,20240323,3367.52,3322.80,3425.09,3283.20,3317.60
CHAINLINK,20240324,3382.71,3348.95,3454.69,3317.60,3446.48
CHAINLINK,20240325,3533.17,3452.93,3642.65,3425.21,3636.83
CHAINLINK,20240326,3610.27,3587.63,3678.00,3549.31,3603.75
CHAINLINK,20240327,3550.44,3590.60,3657.55,3472.62,3490.74
CHAINLINK,20240328,3556.36,3506.44,3603.17,3473.55,3561.55
CHAINLINK,20240329,3526.47,3561.76,3580.40,3478.20,3490.60
CHAINLINK,20240330,3520.07,3513.79,3560.33,3489.09,3538.06
CHAINLINK,20240331,3609.70,3509.47,3648.16,3509.47,3613.14
COINGECKO,20240101,2279.94,NULL,NULL,NULL,NULL
COINGECKO,20240102,2350.03,NULL,NULL,NULL,NULL
COINGECKO,20240103,2360.78,NULL,NULL,NULL,NULL
COINGECKO,20240104,2211.17,NULL,NULL,NULL,NULL
COINGECKO,20240105,2270.98,NULL,NULL,NULL,NULL
COINGECKO,20240106,2267.09,NULL,NULL,NULL,NULL
COINGECKO,20240107,2241.51,NULL,NULL,NULL,NULL
COINGECKO,20240108,2220.15,NULL,NULL,NULL,NULL
COINGECKO,20240109,2331.66,NULL,NULL,NULL,NULL
COINGECKO,20240110,2341.16,NULL,NULL,NULL,NULL
COINGECKO,20240111,2588.77,NULL,NULL,NULL,NULL
COINGECKO,20240112,2618.33,NULL,NULL,NULL,NULL
COINGECKO,20240113,2524.50,NULL,NULL,NULL,NULL
COINGECKO,20240114,2575.92,NULL,NULL,NULL,NULL
COINGECKO,20240115,2477.94,NULL,NULL,NULL,NULL
COINGECKO,20240116,2515.32,NULL,NULL,NULL,NULL
COINGECKO,20240117,2589.48,NULL,NULL,NULL,NULL
COINGECKO,20240118,2528.33,NULL,NULL,NULL,NULL
COINGECKO,20240119,2467.33,NULL,NULL,NULL,NULL
COINGECKO,20240120,2489.62,NULL,NULL,NULL,NULL
COINGECKO,20240121,2470.26,NULL,NULL,NULL,NULL
COINGECKO,20240122,2454.91,NULL,NULL,NULL,NULL
COINGECKO,20240123,2307.59,NULL,NULL,NULL,NULL
COINGECKO,20240124,2241.94,NULL,NULL,NULL,NULL
COINGECKO,20240125,2236.74,NULL,NULL,NULL,NULL
COINGECKO,20240126,2219.61,NULL,NULL,NULL,NULL
COINGECKO,20240127,2268.87,NULL,NULL,NULL,NULL
COINGECKO,20240128,2267.91,NULL,NULL,NULL,NULL
COINGECKO,20240129,2257.05,NULL,NULL,NULL,NULL
COINGECKO,20240130,2314.59,NULL,NULL,NULL,NULL
COINGECKO,20240131,2344.00,NULL,NULL,NULL,NULL
COINGECKO,20240201,2282.49,NULL,NULL,NULL,NULL
COINGECKO,20240202,2301.74,NULL,NULL,NULL,NULL
COINGECKO,20240203,2307.43,NULL,NULL,NULL,NULL
COINGECKO,20240204,2294.72,NULL,NULL,NULL,NULL
COINGECKO,20240205,2290.08,NULL,NULL,NULL,NULL
COINGECKO,20240206,2298.67,NULL,NULL,NULL,NULL
COINGECKO,20240207,2372.76,NULL,NULL,NULL,NULL
COINGECKO,20240208,2424.07,NULL,NULL,NULL,NULL
COINGECKO,20240209,2420.97,NULL,NULL,NULL,NULL
COINGECKO,20240210,2487.85,NULL,NULL,NULL,NULL
COINGECKO,20240211,2499.49,NULL,NULL,NULL,NULL
COINGECKO,20240212,2505.08,NULL,NULL,NULL,NULL
COINGECKO,20240213,2657.99,NULL,NULL,NULL,NULL
COINGECKO,20240214,2641.54,NULL,NULL,NULL,NULL
COINGECKO,20240215,2780.37,NULL,NULL,NULL,NULL
COINGECKO,20240216,2826.82,NULL,NULL,NULL,NULL
COINGECKO,20240217,2807.37,NULL,NULL,NULL,NULL
COINGECKO,20240218,2788.56,NULL,NULL,NULL,NULL
COINGECKO,20240219,2874.95,NULL,NULL,NULL,NULL
COINGECKO,20240220,2943.72,NULL,NULL,NULL,NULL
COINGECKO,20240221,3015.44,NULL,NULL,NULL,NULL
COINGECKO,20240222,2977.08,NULL,NULL,NULL,NULL
COINGECKO,20240223,2974.13,NULL,NULL,NULL,NULL
COINGECKO,20240224,2926.29,NULL,NULL,NULL,NULL
COINGECKO,20240225,2988.32,NULL,NULL,NULL,NULL
COINGECKO,20240226,3113.41,NULL,NULL,NULL,NULL
COINGECKO,20240227,3173.63,NULL,NULL,NULL,NULL
COINGECKO,20240228,3242.05,NULL,NULL,NULL,NULL
COINGECKO,20240229,3380.80,NULL,NULL,NULL,NULL
COINGECKO,20240301,3347.69,NULL,NULL,NULL,NULL
COINGECKO,20240302,3431.75,NULL,NULL,NULL,NULL
COINGECKO,20240303,3421.89,NULL,NULL,NULL,NULL
COINGECKO,20240304,3487.19,NULL,NULL,NULL,NULL
COINGECKO,20240305,3634.31,NULL,NULL,NULL,NULL
COINGECKO,20240306,3581.53,NULL,NULL,NULL,NULL
COINGECKO,20240307,3822.37,NULL,NULL,NULL,NULL
COINGECKO,20240308,3861.90,NULL,NULL,NULL,NULL
COINGECKO,20240309,3893.61,NULL,NULL,NULL,NULL
COINGECKO,20240310,3916.04,NULL,NULL,NULL,NULL
COINGECKO,20240311,3887.47,NULL,NULL,NULL,NULL
COINGECKO,20240312,4070.60,NULL,NULL,NULL,NULL
COINGECKO,20240313,3978.69,NULL,NULL,NULL,NULL
COINGECKO,20240314,4007.91,NULL,NULL,NULL,NULL
COINGECKO,20240315,3879.04,NULL,NULL,NULL,NULL
COINGECKO,20240316,3738.38,NULL,NULL,NULL,NULL
COINGECKO,20240317,3514.22,NULL,NULL,NULL,NULL
COINGECKO,20240318,3643.28,NULL,NULL,NULL,NULL
COINGECKO,20240319,3525.89,NULL,NULL,NULL,NULL
COINGECKO,20240320,3171.29,NULL,NULL,NULL,NULL
COINGECKO,20240321,3515.69,NULL,NULL,NULL,NULL
COINGECKO,20240322,3493.43,NULL,NULL,NULL,NULL
COINGECKO,20240323,3322.89,NULL,NULL,NULL,NULL
COINGECKO,20240324,3353.37,NULL,NULL,NULL,NULL
COINGECKO,20240325,3454.26,NULL,NULL,NULL,NULL
COINGECKO,20240326,3588.49,NULL,NULL,NULL,NULL
COINGECKO,20240327,3591.55,NULL,NULL,NULL,NULL
COINGECKO,20240328,3505.22,NULL,NULL,NULL,NULL
COINGECKO,20240329,3560.26,NULL,NULL,NULL,NULL
COINGECKO,20240330,3516.10,NULL,NULL,NULL,NULL
COINGECKO,20240331,3507.66,NULL,NULL,NULL,NULL
COINMARKETCAP,20240101,2352.33,2282.87,2352.33,2267.02,2352.33
COINMARKETCAP,20240102,2355.84,2352.59,2431.21,2348.89,2355.84
COINMARKETCAP,20240103,2210.76,2355.98,2385.12,2113.93,2210.76
COINMARKETCAP,20240104,2269.04,2210.53,2294.61,2204.87,2269.04
COINMARKETCAP,20240105,2268.65,2269.41,2276.76,2209.54,2268.65
COINMARKETCAP,20240106,2241.62,2269.54,2271.36,2219.78,2241.62
COINMARKETCAP,20240107,2222.87,2242.01,2257.13,2211.56,2222.87
COINMARKETCAP,20240108,2333.03,2222.86,2358.82,2171.99,2333.03
COINMARKETCAP,20240109,2344.83,2332.87,2369.64,2243.22,2344.83
COINMARKETCAP,20240110,2582.10,2344.92,2626.98,2341.94,2582.10
COINMARKETCAP,20240111,2619.62,2584.17,2687.78,2567.99,2619.62
COINMARKETCAP,20240112,2524.46,2619.18,2710.42,2460.93,2524.46
COINMARKETCAP,20240113,2576.60,2522.93,2589.08,2498.59,2576.60
COINMARKETCAP,20240114,2472.24,2578.00,2578.33,2470.42,2472.24
COINMARKETCAP,20240115,2511.36,2471.67,2550.77,2470.82,2511.36
COINMARKETCAP,20240116,2587.69,2510.63,2613.57,2500.00,2587.69
COINMARKETCAP,20240117,2528.37,2587.04,2592.74,2508.43,2528.37
COINMARKETCAP,20240118,2467.02,2528.59,2546.26,2426.14,2467.02
COINMARKETCAP,20240119,2489.50,2468.69,2501.31,2414.71,2489.50
COINMARKETCAP,20240120,2469.59,2489.85,2489.85,2456.10,2469.59
COINMARKETCAP,20240121,2453.91,2469.80,2479.76,2452.38,2453.91
COINMARKETCAP,20240122,2310.83,2454.99,2463.45,2303.50,2310.83
COINMARKETCAP,20240123,2240.69,2310.95,2348.03,2167.28,2240.69
COINMARKETCAP,20240124,2233.56,2241.75,2261.38,2197.66,2233.56
COINMARKETCAP,20240125,2217.71,2233.97,2240.38,2173.69,2217.71
COINMARKETCAP,20240126,2267.20,2217.44,2280.38,2196.14,2267.20
COINMARKETCAP,20240127,2267.89,2267.32,2282.54,2252.39,2267.89
COINMARKETCAP,20240128,2257.21,2268.19,2306.90,2242.68,2257.21
COINMARKETCAP,20240129,2317.06,2257.00,2320.03,2237.71,2317.06
COINMARKETCAP,20240130,2344.49,2317.44,2388.87,2298.28,2344.49
COINMARKETCAP,20240131,2282.54,2343.56,2349.61,2264.44,2282.54
COINMARKETCAP,20240201,2303.82,2282.18,2309.84,2243.57,2303.82
COINMARKETCAP,20240202,2308.04,2303.71,2323.05,2282.23,2308.04
COINMARKETCAP,20240203,2296.04,2307.98,2327.35,2293.54,2296.04
COINMARKETCAP,20240204,2289.55,2296.12,2309.01,2272.30,2289.55
COINMARKETCAP,20240205,2298.89,2289.21,2334.68,2270.07,2298.89
COINMARKETCAP,20240206,2372.20,2298.96,2389.83,2296.79,2372.20
COINMARKETCAP,20240207,2423.75,2372.26,2442.64,2353.71,2423.75
COINMARKETCAP,20240208,2419.91,2424.08,2459.56,2414.75,2419.91
COINMARKETCAP,20240209,2487.52,2419.77,2522.72,2419.36,2487.52
COINMARKETCAP,20240210,2501.23,2487.65,2516.72,2475.86,2501.23
COINMARKETCAP,20240211,2507.57,2501.13,2537.68,2495.21,2507.57
COINMARKETCAP,20240212,2658.12,2507.58,2663.84,2473.81,2658.12
COINMARKETCAP,20240213,2642.19,2659.59,2686.46,2599.17,2642.19
COINMARKETCAP,20240214,2777.90,2641.69,2786.89,2621.03,2777.90
COINMARKETCAP,20240215,2824.38,2777.60,2865.85,2764.01,2824.38
COINMARKETCAP,20240216,2803.69,2825.48,2858.45,2760.33,2803.69
COINMARKETCAP,20240217,2786.67,2803.74,2805.13,2724.39,2786.67
COINMARKETCAP,20240218,2879.00,2786.71,2892.84,2767.91,2879.00
COINMARKETCAP,20240219,2943.57,2881.30,2983.37,2860.26,2943.57
COINMARKETCAP,20240220,3013.50,2944.11,3031.52,2879.90,3013.50
COINMARKETCAP,20240221,2970.36,3015.65,3017.19,2875.42,2970.36
COINMARKETCAP,20240222,2971.01,2969.60,3030.67,2907.11,2971.01
COINMARKETCAP,20240223,2921.66,2970.14,2991.33,2906.58,2921.66
COINMARKETCAP,20240224,2992.39,2921.96,3003.20,2907.70,2992.39
COINMARKETCAP,20240225,3112.70,2992.37,3117.43,2984.39,3112.70
COINMARKETCAP,20240226,3178.99,3112.53,3197.38,3037.95,3178.99
COINMARKETCAP,20240227,3244.52,3178.41,3287.96,3167.83,3244.52
COINMARKETCAP,20240228,3385.70,3243.89,3485.45,3201.58,3385.70
COINMARKETCAP,20240229,3341.92,3386.80,3518.97,3303.91,3341.92
COINMARKETCAP,20240301,3435.05,3341.97,3452.63,3341.85,3435.05
COINMARKETCAP,20240302,3422.05,3436.16,3459.75,3398.90,3422.05
COINMARKETCAP,20240303,3490.99,3422.88,3491.17,3372.21,3490.99
